ID;Date;Value
0060012466;2011-05-17T02:00:00.0000000+02:00;140.56
0060012466;2011-05-18T02:00:00.0000000+02:00;139.97
0060012466;2011-05-19T02:00:00.0000000+02:00;139.07
0060012466;2011-05-23T02:00:00.0000000+02:00;136.81
0060012466;2011-05-24T02:00:00.0000000+02:00;137.00
0060012466;2011-05-25T02:00:00.0000000+02:00;137.14
0060012466;2011-05-26T02:00:00.0000000+02:00;135.64
0060012466;2011-05-27T02:00:00.0000000+02:00;136.28
0060012466;2011-05-30T02:00:00.0000000+02:00;137.04
0060012466;2011-05-31T02:00:00.0000000+02:00;137.84
0060012466;2011-06-01T02:00:00.0000000+02:00;137.37
0060012466;2011-06-06T02:00:00.0000000+02:00;135.76
0060012466;2011-06-07T02:00:00.0000000+02:00;135.25
0060012466;2011-06-08T02:00:00.0000000+02:00;133.28
0060012466;2011-06-09T02:00:00.0000000+02:00;133.59
0060012466;2011-06-10T02:00:00.0000000+02:00;132.61
0060012466;2011-06-14T02:00:00.0000000+02:00;132.81
0060012466;2011-06-15T02:00:00.0000000+02:00;130.15
0060012466;2011-06-16T02:00:00.0000000+02:00;127.96
0060012466;2011-06-17T02:00:00.0000000+02:00;128.59
0060012466;2011-06-20T02:00:00.0000000+02:00;126.63
0060012466;2011-06-21T02:00:00.0000000+02:00;128.54
0060012466;2011-06-22T02:00:00.0000000+02:00;128.14
0060012466;2011-06-23T02:00:00.0000000+02:00;126.12
0060012466;2011-06-24T02:00:00.0000000+02:00;126.28
0060012466;2011-06-27T02:00:00.0000000+02:00;125.87
0060012466;2011-06-28T02:00:00.0000000+02:00;125.97
0060012466;2011-06-29T02:00:00.0000000+02:00;128.00
0060012466;2011-06-30T02:00:00.0000000+02:00;130.21
0060012466;2011-07-01T02:00:00.0000000+02:00;131.62
0060012466;2011-07-04T02:00:00.0000000+02:00;132.79
0060012466;2011-07-05T02:00:00.0000000+02:00;132.40
0060012466;2011-07-06T02:00:00.0000000+02:00;131.54
0060012466;2011-07-07T02:00:00.0000000+02:00;131.71
0060012466;2011-07-08T02:00:00.0000000+02:00;131.13
0060012466;2011-07-11T02:00:00.0000000+02:00;129.39
0060012466;2011-07-12T02:00:00.0000000+02:00;127.79
0060012466;2011-07-13T02:00:00.0000000+02:00;129.68
0060012466;2011-07-14T02:00:00.0000000+02:00;128.59
0060012466;2011-07-15T02:00:00.0000000+02:00;128.98
0060012466;2011-07-18T02:00:00.0000000+02:00;127.37
0060012466;2011-07-19T02:00:00.0000000+02:00;128.00
0060012466;2011-07-20T02:00:00.0000000+02:00;128.66
0060012466;2011-07-21T02:00:00.0000000+02:00;130.50
0060012466;2011-07-22T02:00:00.0000000+02:00;131.59
0060012466;2011-07-25T02:00:00.0000000+02:00;131.24
0060012466;2011-07-26T02:00:00.0000000+02:00;130.28
0060012466;2011-07-27T02:00:00.0000000+02:00;130.26
0060012466;2011-07-28T02:00:00.0000000+02:00;129.72
0060012466;2011-07-29T02:00:00.0000000+02:00;128.36
0060012466;2011-08-01T02:00:00.0000000+02:00;128.39
0060012466;2011-08-02T02:00:00.0000000+02:00;123.22
0060012466;2011-08-03T02:00:00.0000000+02:00;121.30
0060012466;2011-08-04T02:00:00.0000000+02:00;118.43
0060012466;2011-08-05T02:00:00.0000000+02:00;116.08
0060012466;2011-08-08T02:00:00.0000000+02:00;111.91
0060012466;2011-08-09T02:00:00.0000000+02:00;112.35
0060012466;2011-08-10T02:00:00.0000000+02:00;110.54
0060012466;2011-08-11T02:00:00.0000000+02:00;109.96
0060012466;2011-08-12T02:00:00.0000000+02:00;113.26
0060012466;2011-08-15T02:00:00.0000000+02:00;115.71
0060012466;2011-08-16T02:00:00.0000000+02:00;112.97
0060012466;2011-08-17T02:00:00.0000000+02:00;111.23
0060012466;2011-08-18T02:00:00.0000000+02:00;106.34
0060012466;2011-08-19T02:00:00.0000000+02:00;105.14
0060012466;2011-08-22T02:00:00.0000000+02:00;104.02
0060012466;2011-08-23T02:00:00.0000000+02:00;102.66
0060012466;2011-08-24T02:00:00.0000000+02:00;103.18
0060012466;2011-08-25T02:00:00.0000000+02:00;102.40
0060012466;2011-08-26T02:00:00.0000000+02:00;102.45
0060012466;2011-08-29T02:00:00.0000000+02:00;105.08
0060012466;2011-08-30T02:00:00.0000000+02:00;104.88
0060012466;2011-08-31T02:00:00.0000000+02:00;107.97
0060012466;2011-09-01T02:00:00.0000000+02:00;108.61
0060012466;2011-09-02T02:00:00.0000000+02:00;105.91
0060012466;2011-09-05T02:00:00.0000000+02:00;102.82
0060012466;2011-09-06T02:00:00.0000000+02:00;101.73
0060012466;2011-09-07T02:00:00.0000000+02:00;104.56
0060012466;2011-09-08T02:00:00.0000000+02:00;104.94
0060012466;2011-09-09T02:00:00.0000000+02:00;102.41
0060012466;2011-09-12T02:00:00.0000000+02:00;99.65
0060012466;2011-09-13T02:00:00.0000000+02:00;99.62
0060012466;2011-09-14T02:00:00.0000000+02:00;100.32
0060012466;2011-09-15T02:00:00.0000000+02:00;103.02
0060012466;2011-09-16T02:00:00.0000000+02:00;102.79
0060012466;2011-09-19T02:00:00.0000000+02:00;100.93
0060012466;2011-09-20T02:00:00.0000000+02:00;102.47
0060012466;2011-09-21T02:00:00.0000000+02:00;102.68
0060012466;2011-09-22T02:00:00.0000000+02:00;100.42
0060012466;2011-09-23T02:00:00.0000000+02:00;99.99
0060012466;2011-09-26T02:00:00.0000000+02:00;100.31
0060012466;2011-09-27T02:00:00.0000000+02:00;104.12
0060012466;2011-09-28T02:00:00.0000000+02:00;103.44
0060012466;2011-09-29T02:00:00.0000000+02:00;104.36
0060012466;2011-09-30T02:00:00.0000000+02:00;102.97
0060012466;2011-10-03T02:00:00.0000000+02:00;102.57
0060012466;2011-10-04T02:00:00.0000000+02:00;99.94
0060012466;2011-10-05T02:00:00.0000000+02:00;100.30
0060012466;2011-10-06T02:00:00.0000000+02:00;101.90
0060012466;2011-10-07T02:00:00.0000000+02:00;102.62
0060012466;2011-10-10T02:00:00.0000000+02:00;104.59
0060012466;2011-10-11T02:00:00.0000000+02:00;104.00
0060012466;2011-10-12T02:00:00.0000000+02:00;105.70
0060012466;2011-10-13T02:00:00.0000000+02:00;104.65
0060012466;2011-10-14T02:00:00.0000000+02:00;105.24
0060012466;2011-10-17T02:00:00.0000000+02:00;103.48
0060012466;2011-10-18T02:00:00.0000000+02:00;103.76
0060012466;2011-10-19T02:00:00.0000000+02:00;103.54
0060012466;2011-10-20T02:00:00.0000000+02:00;102.98
0060012466;2011-10-21T02:00:00.0000000+02:00;104.83
0060012466;2011-10-24T02:00:00.0000000+02:00;106.61
0060012466;2011-10-25T02:00:00.0000000+02:00;106.34
0060012466;2011-10-26T02:00:00.0000000+02:00;107.20
0060012466;2011-10-27T02:00:00.0000000+02:00;110.35
0060012466;2011-10-28T02:00:00.0000000+02:00;109.99
0060012466;2011-10-31T01:00:00.0000000+01:00;107.58
0060012466;2011-11-01T01:00:00.0000000+01:00;103.72
0060012466;2011-11-02T01:00:00.0000000+01:00;103.87
0060012466;2011-11-03T01:00:00.0000000+01:00;105.78
0060012466;2011-11-04T01:00:00.0000000+01:00;105.58
0060012466;2011-11-07T01:00:00.0000000+01:00;106.70
0060012466;2011-11-08T01:00:00.0000000+01:00;107.59
0060012466;2011-11-09T01:00:00.0000000+01:00;106.83
0060012466;2011-11-10T01:00:00.0000000+01:00;106.27
0060012466;2011-11-11T01:00:00.0000000+01:00;108.86
0060012466;2011-11-14T01:00:00.0000000+01:00;108.92
0060012466;2011-11-15T01:00:00.0000000+01:00;109.08
0060012466;2011-11-16T01:00:00.0000000+01:00;108.75
0060012466;2011-11-17T01:00:00.0000000+01:00;108.49
0060012466;2011-11-18T01:00:00.0000000+01:00;107.82
0060012466;2011-11-21T01:00:00.0000000+01:00;105.65
0060012466;2011-11-22T01:00:00.0000000+01:00;105.45
0060012466;2011-11-23T01:00:00.0000000+01:00;104.69
0060012466;2011-11-24T01:00:00.0000000+01:00;103.81
0060012466;2011-11-25T01:00:00.0000000+01:00;104.48
0060012466;2011-11-28T01:00:00.0000000+01:00;106.96
0060012466;2011-11-29T01:00:00.0000000+01:00;107.16
0060012466;2011-11-30T01:00:00.0000000+01:00;110.72
0060012466;2011-12-01T01:00:00.0000000+01:00;110.29
0060012466;2011-12-02T01:00:00.0000000+01:00;110.65
0060012466;2011-12-05T01:00:00.0000000+01:00;112.14
0060012466;2011-12-06T01:00:00.0000000+01:00;111.53
0060012466;2011-12-07T01:00:00.0000000+01:00;111.45
0060012466;2011-12-08T01:00:00.0000000+01:00;110.14
0060012466;2011-12-09T01:00:00.0000000+01:00;109.59
0060012466;2011-12-12T01:00:00.0000000+01:00;108.12
0060012466;2011-12-13T01:00:00.0000000+01:00;108.65
0060012466;2011-12-14T01:00:00.0000000+01:00;106.55
0060012466;2011-12-15T01:00:00.0000000+01:00;106.68
0060012466;2011-12-16T01:00:00.0000000+01:00;106.79
0060012466;2011-12-19T01:00:00.0000000+01:00;106.66
0060012466;2011-12-20T01:00:00.0000000+01:00;108.13
0060012466;2011-12-21T01:00:00.0000000+01:00;108.33
0060012466;2011-12-22T01:00:00.0000000+01:00;108.41
0060012466;2011-12-23T01:00:00.0000000+01:00;109.58
0060012466;2011-12-27T01:00:00.0000000+01:00;109.60
0060012466;2011-12-28T01:00:00.0000000+01:00;109.94
0060012466;2011-12-29T01:00:00.0000000+01:00;110.47
0060012466;2011-12-30T01:00:00.0000000+01:00;111.82
0060012466;2011-12-31T01:00:00.0000000+01:00;111.81
0060012466;2012-01-02T01:00:00.0000000+01:00;114.36
0060012466;2012-01-03T01:00:00.0000000+01:00;115.65
0060012466;2012-01-04T01:00:00.0000000+01:00;114.34
0060012466;2012-01-05T01:00:00.0000000+01:00;115.40
0060012466;2012-01-06T01:00:00.0000000+01:00;115.50
0060012466;2012-01-09T01:00:00.0000000+01:00;116.35
0060012466;2012-01-10T01:00:00.0000000+01:00;117.73
0060012466;2012-01-11T01:00:00.0000000+01:00;117.45
0060012466;2012-01-12T01:00:00.0000000+01:00;118.09
0060012466;2012-01-13T01:00:00.0000000+01:00;118.72
0060012466;2012-01-16T01:00:00.0000000+01:00;119.51
0060012466;2012-01-17T01:00:00.0000000+01:00;120.34
0060012466;2012-01-18T01:00:00.0000000+01:00;120.51
0060012466;2012-01-19T01:00:00.0000000+01:00;120.99
0060012466;2012-01-20T01:00:00.0000000+01:00;120.72
0060012466;2012-01-23T01:00:00.0000000+01:00;120.81
0060012466;2012-01-24T01:00:00.0000000+01:00;120.08
0060012466;2012-01-25T01:00:00.0000000+01:00;120.50
0060012466;2012-01-26T01:00:00.0000000+01:00;121.99
0060012466;2012-01-27T01:00:00.0000000+01:00;121.35
0060012466;2012-01-30T01:00:00.0000000+01:00;119.82
0060012466;2012-01-31T01:00:00.0000000+01:00;121.23
0060012466;2012-02-01T01:00:00.0000000+01:00;123.38
0060012466;2012-02-02T01:00:00.0000000+01:00;124.38
0060012466;2012-02-03T01:00:00.0000000+01:00;125.92
0060012466;2012-02-06T01:00:00.0000000+01:00;125.31
0060012466;2012-02-07T01:00:00.0000000+01:00;125.87
0060012466;2012-02-08T01:00:00.0000000+01:00;126.53
0060012466;2012-02-09T01:00:00.0000000+01:00;127.25
0060012466;2012-02-10T01:00:00.0000000+01:00;127.29
0060012466;2012-02-13T01:00:00.0000000+01:00;128.40
0060012466;2012-02-14T01:00:00.0000000+01:00;127.99
0060012466;2012-02-15T01:00:00.0000000+01:00;130.13
0060012466;2012-02-16T01:00:00.0000000+01:00;128.76
0060012466;2012-02-17T01:00:00.0000000+01:00;129.57
0060012466;2012-02-20T01:00:00.0000000+01:00;131.55
0060012466;2012-02-21T01:00:00.0000000+01:00;130.70
0060012466;2012-02-22T01:00:00.0000000+01:00;129.80
0060012466;2012-02-23T01:00:00.0000000+01:00;128.86
0060012466;2012-02-24T01:00:00.0000000+01:00;130.10
0060012466;2012-02-27T01:00:00.0000000+01:00;128.49
0060012466;2012-02-28T01:00:00.0000000+01:00;129.85
0060012466;2012-02-29T01:00:00.0000000+01:00;130.37
0060012466;2012-03-01T01:00:00.0000000+01:00;131.13
0060012466;2012-03-02T01:00:00.0000000+01:00;132.17
0060012466;2012-03-05T01:00:00.0000000+01:00;132.06
0060012466;2012-03-06T01:00:00.0000000+01:00;129.20
0060012466;2012-03-07T01:00:00.0000000+01:00;130.14
0060012466;2012-03-08T01:00:00.0000000+01:00;130.97
0060012466;2012-03-09T01:00:00.0000000+01:00;133.24
0060012466;2012-03-12T01:00:00.0000000+01:00;132.89
0060012466;2012-03-13T01:00:00.0000000+01:00;134.41
0060012466;2012-03-14T01:00:00.0000000+01:00;134.37
0060012466;2012-03-15T01:00:00.0000000+01:00;133.08
0060012466;2012-03-16T01:00:00.0000000+01:00;133.56
0060012466;2012-03-19T01:00:00.0000000+01:00;132.74
0060012466;2012-03-20T01:00:00.0000000+01:00;131.89
0060012466;2012-03-21T01:00:00.0000000+01:00;132.01
0060012466;2012-03-22T01:00:00.0000000+01:00;130.14
0060012466;2012-03-23T01:00:00.0000000+01:00;130.51
0060012466;2012-03-26T02:00:00.0000000+02:00;131.60
0060012466;2012-03-27T02:00:00.0000000+02:00;130.15
0060012466;2012-03-28T02:00:00.0000000+02:00;129.93
0060012466;2012-03-29T02:00:00.0000000+02:00;127.63
0060012466;2012-03-30T02:00:00.0000000+02:00;129.36
0060012466;2012-04-02T02:00:00.0000000+02:00;131.68
0060012466;2012-04-03T02:00:00.0000000+02:00;133.55
0060012466;2012-04-04T02:00:00.0000000+02:00;130.32
0060012466;2012-04-10T02:00:00.0000000+02:00;128.27
0060012466;2012-04-11T02:00:00.0000000+02:00;127.86
0060012466;2012-04-12T02:00:00.0000000+02:00;129.44
0060012466;2012-04-13T02:00:00.0000000+02:00;129.06
0060012466;2012-04-16T02:00:00.0000000+02:00;129.87
0060012466;2012-04-17T02:00:00.0000000+02:00;130.86
0060012466;2012-04-18T02:00:00.0000000+02:00;131.22
0060012466;2012-04-19T02:00:00.0000000+02:00;131.88
0060012466;2012-04-20T02:00:00.0000000+02:00;131.66
